,0Video,0Dist,0AAE,1Video,1Dist,1AAE
0,Camera3_taskA_trial28_1574780616019.avi,83.58810389068356,1.9928285480466905,Camera3_taskA_trial30_1573681677610.avi,98.72413599796685,2.3664721846292083
1,Camera3_taskA_trial22_1573166976205.avi,97.08485864718854,2.316554108593538,Camera3_taskA_trial8_1574174089181.avi,85.30816760056186,2.050110950513526
2,Camera3_taskA_trial15_1574364680034.avi,105.40675499288155,2.529193577940679,Camera3_taskA_trial34_1572969387007.avi,83.34296367516886,2.0064693171924524
3,Camera3_taskA_trial34_1574366066420.avi,115.57588066320417,2.783611612240679,Camera3_taskA_trial32_1572969253069.avi,79.42441681009845,1.9155425139979785
4,Camera3_taskA_trial25_1573749643038.avi,107.97884824591672,2.596758769684362,Camera3_taskA_trial31_1573750173280.avi,83.97270396040244,2.0187701562043334
5,Camera3_taskA_trial17_1574364832935.avi,116.88713656069461,2.81395799825832,Camera3_taskA_trial29_1572968740060.avi,79.04720562635373,1.9026193768225255
6,Camera3_taskA_trial20_1574365029619.avi,124.87665106241198,3.0119650154154964,Camera3_taskA_trial19_1574364966692.avi,90.0632120409475,2.171033101683159
7,Camera3_taskA_trial15_1572967514704.avi,118.01111672678843,2.8465536899743387,Camera3_taskA_trial19_1572965519356.avi,85.79935930009276,2.0693384809922315
8,Camera3_taskA_trial2_1572966333629.avi,112.3714573687263,2.7114233629270155,Camera4_taskA_trial24_1574718611350.avi,86.17024881509758,2.0778176575449194
9,Camera3_taskA_trial8_1573748366180.avi,108.51501858978398,2.6161792821690386,Camera3_taskA_trial33_1573681882386.avi,88.0233248341895,2.121338355736672
10,Camera3_taskA_trial29_1573750027059.avi,106.28166131422859,2.5607140789411877,Camera3_taskA_trial35_1574366132619.avi,95.75052600760061,2.3108378117992605
11,Camera4_taskA_trial11_1574717136353.avi,104.41394703579552,2.5151784309759444,Camera3_taskA_trial8_1573758207839.avi,94.71300819869532,2.285633457336099
12,Camera3_taskA_trial32_1573750266285.avi,103.81411953589803,2.498496637607809,Camera3_taskA_trial22_1572965772096.avi,92.20863911666913,2.2255706224483087
13,Camera3_taskA_trial20_1573680920833.avi,103.28787620403502,2.4859642898390177,Camera3_taskA_trial28_1572968668720.avi,90.92558953316556,2.194650273594902
14,Camera3_taskA_trial7_1573758137956.avi,101.31418590514363,2.4385977571500974,Camera3_taskA_trial20_1573166814262.avi,90.23687560914577,2.176938335661822
15,Camera3_taskA_trial3_1573757759568.avi,100.46565959673065,2.417517176799393,Camera3_taskA_trial6_1574285729245.avi,89.32745343090708,2.1549483235915154
16,Camera3_taskA_trial28_1574783355373.avi,99.33285443101163,2.389275895914665,Camera3_taskA_trial15_1573680554798.avi,89.61696218801978,2.16103152453588
17,Camera3_taskA_trial7_1573748295370.avi,98.27255176033569,2.3627731332034223,,,
18,Camera3_taskA_trial3_1573748025469.avi,98.18318585477016,2.3597151299492096,,,
19,Camera3_taskA_trial21_1573681005047.avi,98.47229315215623,2.365939716023452,,,
20,Camera3_taskA_trial22_1572968173549.avi,97.01929057060012,2.3313707925887277,,,
21,Camera3_taskA_trial4_1574173673196.avi,95.85706312645708,2.30397745127506,,,
22,Camera3_taskA_trial15_1573748844895.avi,94.81910036675797,2.278230456436054,,,
23,Camera3_taskA_trial7_1572966732452.avi,93.17530859705265,2.2393118679082953,,,
24,Camera3_taskA_trial5_1572966562763.avi,92.83571010860757,2.2323665418071434,,,
25,Camera3_taskA_trial21_1572968092479.avi,91.9400072595023,2.2109626835975247,,,
26,Camera3_taskA_trial11_1573748571657.avi,91.59834975231978,2.20209596377907,,,
27,Camera3_taskA_trial27_1574783274286.avi,91.87326767110962,2.2082009490355365,,,
28,Camera3_taskA_trial1_1573757647682.avi,91.25732711792502,2.19377808844212,,,
29,Camera3_taskA_trial14_1573166141593.avi,90.62531429973454,2.178424981063582,,,
30,Camera3_taskA_trial12_1573748631712.avi,90.40177883494398,2.1727932418439697,,,
31,Camera3_taskA_trial1_1572966242483.avi,89.3470495841484,2.1479207671128213,,,
32,Camera3_taskA_trial5_1574285661568.avi,88.84514138128097,2.136336071376079,,,
33,Camera3_taskA_trial23_1573749506397.avi,88.62290549820132,2.130442084578255,,,
34,Camera3_taskA_trial20_1572968026152.avi,87.71948301344705,2.109021992886817,,,
35,Camera3_taskA_trial35_1573682005875.avi,87.71971007485352,2.108945509377337,,,
